,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
5978,3098,Clc1ccc(cc1)[C@@H]2CO[S](=O)(=O)N2,2,37.3,1,0.2,10.1002/adsc.201801566,OJH
5980,3099,OC[C@@H]1COc2cc(ccc2O1)C3CCCCC3,2,37.314,1,0.03,10.1039/C8QO00805A,OD
5982,3100,Cc1ccc(cc1)[C@@H](CCCCC#N)C#N,2,37.37,0.5,0.15,10.1038/s41467/021/22127/x,AZ
5984,3101,CCOC(=O)C[C@@H]1Nc2ccc(Cl)cc2OC1=O,2,37.4,1,0.02,10.1039/c9ra02694k,ODH
5985,3102,OC(=O)[C@H]1CCCCC[C@H]1c2ccc3ccccc3c2,2,33.5,0.8,0.03,10.1002/anie.202016705,AD3
5988,3104,C[C@@H](C#N)c1ccc2OCOc2c1,2,39.15,0.5,0.03,10.1002/cjoc.202000309,AZ
5990,3105,C1Cc2ccccc2N[C@@H]1CNc3cccc4ccccc34,2,46.4,1,0.2,10.1002/anie.201909919,ODH
5992,3106,CC(=O)c1ccccc1C(=O)O[C@@H](C(=O)NC(C)(C)C)c2ccc(cc2)C#N,2,18.5,1,0.3,10.1021/jacs.5b09117,IC
5995,3107,O=C1N[C@@H](CO1)c2cccnc2,2,37.7,1,0.1,10.1021/acscatal.0c02569,ADH
5997,3108,CC[C@@H](C#N)C#Cc1ccccc1,2,37.71,4,0.01,10.1021/jacs.9b02338,AS
5999,3109,COC(=O)c1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccc(Br)cc2,2,37.71,1,0.3,10.1021/jacs.1c06535,AZ
6000,3110,CCOC(=O)N[C@@]1(C(=O)N(C)c2ccc(cc12)[N+]([O-])=O)C(=[N+]=[N-])[P](=O)(OC)OC,2,42.253,0.5,0.1,10.1021/acs.orglett.6b02095,IA
6003,3111,COc1ccc2N[C@@H](C)CCc2c1,2,37.8,0.8,0.1,10.1021/ja2023042,OJH
6005,3112,Cc1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccc3ccccc3c2,2,37.8,1,0.3,10.1021/jacs.1c06535,AZ
6006,3113,COc1cccc2[C@H]3OC(=O)C[C@H]3CCc12,2,25.3,1,0.05,10.1039/C9QO01047E,ADH
6008,3114,COC(=O)C[C@@H](C#N)c1ccc(OC)c(Br)c1,2,33.8,1,0.05,10.1039/C7SC04639A,ODH
6011,3115,O=C1CCC(=O)[C@@]2(CCCN12)Cc3ccccc3,2,38.13,1,0.2,10.1002/anie.202107909,IC3
6012,3116,COC(=O)C(F)(F)C[C@@]12CC(C)(C)CN1C(=O)N(c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc24,2,28.08,0.2,0.01,10.1038/ncomms14841,OD3
6015,3118,O=C1C[C@H]2COc3ccccc3[C@H]2O1,2,27.5,1,0.05,10.1039/C9QO01047E,ADH
6018,3119,Oc1ccc(cc1)[C@@H]2COC(=O)N2,2,38.3,1,0.05,10.1021/acscatal.0c02569,ADH
6020,3120,CSc1cccc(c1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,2,38.39,1,0.2,10.1002/anie.202110084,AZ
6022,3121,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccc4ccccc4c3)c5ccccc5,2,38.4,1,0.5,10.1039/C6QO00018E,ADH
6024,3122,CC(C)(N1[C@@H](CC1=O)c2ccc3OCOc3c2)c4ccccn4,2,38.5,0.8,0.1,10.1002/cjoc.201900533,ADH
6026,3123,[O-][N+](=O)c1ccccc1C[C@@]23CCCN2C(=O)CCC3=O,2,38.55,1,0.2,10.1002/anie.202107909,IF3
6027,3124,O=C1CCCC2=C1CC[C@@H](N2)c3ccccc3,2,29.4,1,0.2,10.1002/adsc.200900870,ASH
6030,3125,O=C1CCCC2=C1CC[C@@H](N2)c3ccccc3,2,38.6,1,0.2,10.1039/c002668a,ASH
6032,3126,O[C@@H](CBr)c1ccc(Br)cc1,2,38.6,1,0.03,10.1002/adsc.201800267,OJH
6034,3127,COc1ccccc1[C@@H](C)C[S](=O)(=O)c2ccc(C)cc2,2,38.68,1,0.04,10.1039/C8QO01291A,AD
6036,3128,C[Si](C)(C)[Si](C[C@@]1(CC2(CCCCCC2)CN1C(=O)Nc3cccc(c3)C(F)(F)F)c4ccccc4)([Si](C)(C)C)[Si](C)(C)C,2,38.75,0.3,0.01,10.1007/s11426/019/9528/2,ID
6038,3129,Brc1ccc(cc1)C(=O)C[C@@H](C#N)c2ccccc2,2,38.76,1,0.1,10.1038/s41467/021/22127/x,OD
6039,3130,C[C@@H](C#C)c1cccc(c1)C(C)=O,2,43.46,0.3,0.007,10.1038/s41557/019/0346/2,OD3
6042,3131,COc1ccc(cc1OC)[C@@H](O)CCl,2,38.9,1,0.05,10.1002/adsc.201800267,ODH
6044,3132,CC(C)(C)OC(=O)N1CC(CC[C@@H](C#N)c2ccc(cc2)c3ccccc3)(CC#N)C1,2,38.93,1,0.2,10.1038/s41467/021/22127/x,AD
6045,3133,COc1ccc(NC[C@@H]2CCc3ccccc3N2)cc1,2,33.5,1,0.1,10.1002/anie.201909919,ODH
6048,3134,COc1ccc(cc1OC)[C@@H]2COC(=O)C2,2,39,1,0.15,10.1021/acscatal.9b02667,ODH
6050,3135,Clc1ccc(cc1)[C@@H]2CO[S](=O)(=O)N2,2,39.1,1,0.2,10.1016/j.isci.2019.07.004,OJH
6051,3136,CC1=C(C(=O)c2ccc(C)cc2)[C@@]3(CC(=O)O1)C(=O)N(Cc4ccccc4)c5ccccc35,2,16,1,0.35,10.1039/C8RA02009D,IC
6054,3137,COC(=O)c1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccc3ccccc3c2,2,39.27,1,0.4,10.1002/anie.202110084,AZ
6055,3138,CCc1ccc2O[C@@H](CO)COc2c1,2,34.62,1,0.03,10.1039/C8QO00805A,OD
6058,3139,CSc1cccc(c1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,2,39.3,1,0.2,10.1021/jacs.1c06535,AZ
6060,3140,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C[P](=O)(OC)OC,2,39.308,1,0.3,10.1039/D0CC03201H,IC
6062,3141,COc1ccc2cc(ccc2c1)[C@@H](CC(=O)c3ccccc3)C#N,2,39.4,1,0.2,10.1038/s41467/021/22127/x,AZ
6064,3142,Fc1ccc(cc1)[C@@H]2CO[S](=O)(=O)N2,2,39.4,1,0.2,10.1002/adsc.201801566,OJH
6065,3143,CC[C@@H](N[P](=O)(c1ccccc1)c2ccccc2)c3ccccc3,2,28.1,1,0.07,10.1039/D0QO01286F,AD3
6068,3144,CCOC(=O)C[C@@H]1Nc2cc(C)ccc2OC1=O,2,39.6,1,0.02,10.1039/c9ra02694k,ADH
6070,3145,O=[S]1(=O)C[C@@H](c2ccccc2)c3ccccc13,2,39.6,1,0.2,10.1039/C8SC05397A,ASH
6071,3146,Cc1ccccc1[C@@]2(CC(C)(C)CN2C(=O)Nc3cccc(Br)c3)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,28.24,0.2,0.04,10.1038/ncomms14841,AD3
6074,3147,O[C@@H](C[S](=O)(=O)c1ccccc1)c2ccc(Br)cc2,2,39.7,1,0.2,10.1039/c8ob02923g,OJH
6075,3148,C[C@@H](C#N)c1cccnc1,2,34.67,0.5,0.05,10.1002/cjoc.202000309,AS
6078,3149,CC(C)[C@@H](C(O)=O)c1ccc(C)cc1,2,39.8,0.8,0.02,10.1002/anie.202016705,OJ3
6080,3150,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(C)cc2,2,39.82,1,0.03,10.1039/C8QO01291A,AD
6082,3151,COc1cccc(c1)[C@@H](CCCCC#N)C#N,2,39.97,1,0.05,10.1038/s41467/021/22127/x,AD
6083,3152,CC(C)[C@@H](O)C[N+]([O-])=O,2,45.238,0.5,0.02,10.1039/C2CC31907A,ODH
6085,3153,COc1ccc2[C@@H](C[S](=O)(=O)c2c1)c3ccccc3,2,36.4,1,0.2,10.1021/acs.orglett.0c03723,ASH
6088,3154,COC(=O)c1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccc(Br)cc2,2,40.02,1,0.3,10.1002/anie.202110084,AZ
6089,3155,CC1(C)CN(C(=O)Nc2cccc(c2)C(F)(F)F)[C@@](CN3CCOCC3)(C1)c4ccccc4,2,45.44,0.6,0.05,10.1016/j.chempr.2017.10.008,AD3
6091,3156,C[C@@H](CC(=O)NC(C)(C)c1ccc(C)cn1)c2ccc(cc2)C(C)=O,2,36.4,0.6,0.05,10.1002/anie.201804197,ODH
6094,3157,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccc(OC)cc3)c4ccccc4,2,40.2,1,0.5,10.1039/C6QO00018E,ADH
6095,3158,F[C@@H](c1ccc(cc1)c2ccccc2)C(=O)c3nccn3c4ccccc4,2,43.5,1,0.02,10.1002/asia.201601306,ADH
6097,3159,CC[C@@H](C#Cc1ccc(C=O)cc1)c2ccccc2,2,44.14,0.3,0.01,10.1038/s41557/019/0346/2,IE
6099,3160,Fc1ccccc1[C@@H]2C[S](=O)(=O)c3ccccc23,2,28.5,1,0.2,10.1021/acs.orglett.0c03723,ASH
6102,3161,COc1cccc(c1)[C@@H](C)C[S](=O)(=O)c2ccc(C)cc2,2,40.54,1,0.04,10.1039/C8QO01291A,AD
6103,3162,COc1ccc2C(=O)N(c3cccc4cccnc34)[C@@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,2,26.2,1,0.2,10.1002/anie.202108853,ADH
6106,3164,COc1ccccc1[C@@H]2C[S](=O)(=O)c3ccccc23,2,46.8,1,0.2,10.1021/acs.orglett.0c03723,ASH
6109,3165,Fc1cccc(c1)[C@@H](CCCCC#N)C#N,2,40.82,0.5,0.15,10.1038/s41467/021/22127/x,AZ
6110,3166,CCOC(=O)C([C@@H](CC=O)c1ccc(cc1)C(=O)OCC)C(=O)OCC,2,22.04,1,0.1,10.1039/C3CC44214D,ADH
6113,3167,CCOC(=O)C[C@@H](C(C(=O)OCC)C(=O)OCC)c1ccc(cc1)C(=O)OCC,2,40.82,1,0.1,10.1039/C3CC44214D,ADH
6115,3168,Cc1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,2,40.89,1,0.2,10.1002/anie.202107909,IC3
6116,3169,COc1ccc(cc1)[C@@H]2CCCNC(=O)C2,2,43.6,0.5,0.1,10.1039/C8OB02231C,ODH
6119,3171,N[C@@H](c1ccc2ccccc2c1)c3ccccc3O,2,16.6,0.7,0.3,10.1002/anie.201915459,OD3
6121,3172,CO[P](=O)(OC)C(=[N+]=[N-])[C@@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Br)cc12,2,35.76,0.5,0.1,10.1021/acs.orglett.6b02095,IA
6124,3173,COC(=O)[C@@H]1COc2ccc(OC)cc2O1,2,41.1,1,0.02,10.1021/acs.orglett.8b01469,ODH
6126,3174,Fc1ccc(cc1)[C@@H]2CO[S](=O)(=O)N2,2,41.1,1,0.2,10.1016/j.isci.2019.07.004,OJH
6128,3175,Cc1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccc(Br)cc2,2,41.17,1,0.2,10.1021/jacs.1c06535,AZ
6130,3176,COc1ccc(cc1)[C@@H]2CN(C(C)=O)C(=O)C2,2,41.3,1,0.1,10.1021/acscatal.9b02667,ASH
6131,3177,O[C@@H](C[N+]([O-])=O)c1cccc(c1)[N+]([O-])=O,2,48.262,0.8,0.1,10.1039/C2CC31907A,ODH
6133,3178,C[C@@H](C(O)=O)c1ccc2ccccc2c1,2,44.5,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
6135,3179,C[C@@H](N[P](=O)(c1ccccc1)c2ccccc2)c3ccc(F)cc3,2,39,1,0.07,10.1039/D0QO01286F,AD3
6137,3180,COc1ccc(cc1)[C@@H]2CCC(=O)C2,2,34.7,1,0.01,10.1002/cjoc.202000617,ASH
6139,3181,Clc1ccc2c([nH]cc2[C@@H](\C=C\c3ccccc3)c4ccccc4)c1,2,43.818,1,0.05,10.1039/C6QO00227G,ADH
6141,3182,OCC[C@@H](C[N+]([O-])=O)c1occc1,2,38.24,1,0.04,10.1002/adsc.201500582,ODH
6144,3183,CO[P](=O)(OC)C(=[N+]=[N-])[C@@](O)(C(=O)OC(C)(C)C)c1cccc(Br)c1,2,41.845,0.5,0.04,10.1021/acs.orglett.7b00128,IA
6145,3184,C[C@@H](Cc1ccc(F)cc1)C(O)=O,2,39.7,1,0.01,10.31635/ccschem.020.202000176,AD3
6148,3185,[O-][N+](=O)c1ccc(cc1)C(=O)C[C@@H]2CCCCN2C(=O)OCc3ccccc3,2,42,0.5,0.05,10.1002/adsc.201100282,ODH
6150,3187,C1Cc2ccccc2N[C@@H]1CNc3ccc4ccccc4c3,2,29.9,1,0.2,10.1002/anie.201909919,ODH
6152,3188,CC1(C)CN(C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](CN3CCOCC3)(C1)c4ccc(cc4)c5ccccc5,2,37.58,0.3,0.03,10.1016/j.chempr.2017.10.008,AD3
6154,3189,CC1=C(C(=O)c2ccccc2)[C@@]3(CC(=O)O1)C(=O)N(CC=C)c4ccccc34,2,15.2,1,0.3,10.1039/C8RA02009D,IC
6156,3190,CC1=C(C(=O)c2cccc(c2)[N+]([O-])=O)[C@@]3(CC(=O)O1)C(=O)N(Cc4ccccc4)c5ccccc35,2,22,1,0.35,10.1039/C8RA02009D,IC
6158,3191,Cc1ccccc1[C@@H]2C[S](=O)(=O)c3ccccc23,2,32.9,1,0.2,10.1021/acs.orglett.0c03723,ASH
6161,3192,COC(=O)c1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,2,42.39,0.5,0.2,10.1002/anie.202110084,AS
6163,3193,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C=Cc2ccccc2,2,42.44,1,0.2,10.1021/jacs.1c06535,AZ
6165,3194,COc1ccc2N[C@@H](C)CCc2c1,2,42.7,0.5,0.1,10.1002/adsc.200900870,OJH
6167,3195,COc1ccc2N[C@@H](C)CCc2c1,2,42.7,0.5,0.1,10.1039/c002668a,OJH
6169,3197,COC(=O)[C@@H](Cc1ccc(cc1)\C=C\c2ccc3ccccc3c2c4ccccc4SC)NC(=O)OC(C)(C)C,2,36.5,0.8,0.02,10.1002/anie.202115221,ODH
6171,3198,OC1(CCCCC1)C[C@@H]2CCc3ccccc3N2,2,38.9,0.8,0.05,10.1021/ja2023042,ODH
6174,3199,Brc1ccc(cc1)[C@@H]2CO[S](=O)(=O)N2,2,42.9,1,0.2,10.1002/adsc.201801566,OJH
6175,3200,CCOC(=O)N[C@@]1(C(=O)N(C)c2ccc(OC(F)(F)F)cc12)C(=[N+]=[N-])[P](=O)(OC)OC,2,34.933,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6177,3201,O=C(C1=C(N)OC2=C(C(OC)=CC=C2)[C@@H]1C[N+]([O-])=O)OCC,2,54.8,1,0.058824,10.1039/C2CC30731F,ASH
6180,3202,COC(=O)c1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,2,43.23,1,0.2,10.1021/jacs.1c06535,AZ
6182,3203,CO[P](=O)(OC)C(=[N+]=[N-])[C@@](O)(C(=O)OC(C)(C)C)c1cccnc1,2,43.28,0.5,0.3,10.1021/acs.orglett.7b00128,IC
6183,3204,CC(=C)OC(=O)O[C@@H](c1ccccc1)c2cn(c3ccc(C)cc23)[S](=O)(=O)C(F)(F)F,2,37.9,0.2,0.004,10.1021/acs.orglett.8b00169,ADH
6185,3205,CCOC(=O)C[C@@H](Sc1ccccc1)c2cccnc2,2,51.4,1,0.01,10.1021/acs.orglett.8b02339,ODH
6187,3206,O[C@@H](C[N+]([O-])=O)c1ccc2ccccc2c1,2,60.632,0.8,0.15,10.1039/C2CC31907A,ODH
6189,3207,CO[P](=O)(OC)C(=[N+]=[N-])[C@@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(F)cc12,2,35.71,0.5,0.1,10.1021/acs.orglett.6b02095,IA
6192,3208,COc1cccc(C[C@@H]2CCCOC2=O)c1,2,43.8,1,0.1,10.1039/C9OB02536G,ASH
6194,3209,Fc1ccc(cc1)[C@@H]2C[S](=O)(=O)c3ccccc23,2,43.8,1,0.2,10.1039/C8SC05397A,ASH
6195,3210,C[C@@H](CCO)CCCCOc1ccccc1,2,39.116,1,0.005,10.1021/acs.orglett.0c01550,ASH
6197,3211,COC(=O)C[C@@H](CC=O)C(=O)OC,2,42.4,0.5,0.01,10.1021/acs.orglett.9b04624,ADH
6200,3212,CCOC(=O)c1cccc(c1)[C@@]2(CC(=NO2)c3ccccc3)CC(F)(F)F,2,43.94,0.8,0.15,10.1002/anie.201804315,OJH
6201,3213,OC(=O)[C@@H](C1CCCC1)c2ccccc2,2,34.6,0.8,0.02,10.1002/anie.202016705,OJ3
6204,3214,COc1ccc(cc1)[C@@H](C(C)C)C(O)=O,2,44,0.8,0.03,10.1002/anie.202016705,OJ3
6206,3215,Cn1c2COC[C@@H](CC=O)c2c3cc(Cl)ccc13,2,44.1,1,0.1,10.1021/ol0703130,ADH
6207,3216,CC(=C)OC(=O)O[C@@H](c1cccc2ccccc12)c3cn(c4ccccc34)[S](=O)(=O)C(F)(F)F,2,34.3,0.2,0.004,10.1021/acs.orglett.8b00169,ADH
6210,3217,COc1ccccc1[C@@H](O)CCCC(=O)Nc2ccccc2,2,44.2,1,0.1,10.1039/C8QO00307F,ADH
6211,3218,CC(C)CC(C[C@@H](C)CC=O)([S](=O)(=O)c1ccccc1)[S](=O)(=O)c2ccccc2,2,51.6,1,0.15,10.1021/acs.orglett.0c01550,OJ3
6214,3219,COC(=O)c1ccc(cc1)C(=O)O[C@@H](CCc2ccccc2C#N)\C=C\c3ccccc3,2,44.35,1,0.2,10.1002/anie.202110084,AZ
6215,3220,CC[C@@H](C#Cc1ccc2cc(OC)ccc2c1)c3ccccc3,2,31.22,1,0.02,10.1038/s41557/019/0346/2,OJ3
6218,3221,Clc1ccc(cc1)[C@@H]2COC(=O)C2,2,44.6,1,0.01,10.1021/acscatal.9b02667,ADH
6219,3222,CC[C@@H](C#CCCO)c1ccccc1,2,34.03,0.5,0.02,10.1038/s41557/019/0346/2,OD3
6221,3223,C(Cc1cc(OCc2ccccc2)cc(OCc3ccccc3)c1)[C@@H]4CCc5ccccc5N4,2,39.1,0.5,0.1,10.1002/asia.201600445,ODH
6223,3224,CC(=O)N1C[C@@H](CC1=O)c2ccc(Cl)cc2,2,52.7,1,0.05,10.1021/acscatal.9b02667,ADH
6225,3225,O[C@@H](C[N+]([O-])=O)c1ccccc1[N+]([O-])=O,2,51.895,0.8,0.05,10.1039/C2CC31907A,ODH
6227,3226,CCOC(=O)N[C@@]1(C(=O)N(C)c2ccccc12)C(=[N+]=[N-])[P](=O)(OC)OC,2,34.3,0.5,0.1,10.1021/acs.orglett.6b02095,IA
6230,3227,CC(=O)Oc1ccc(cc1)[C@@H](CC(=O)c2ccccc2)C#N,2,45.46,1,0.2,10.1038/s41467/021/22127/x,AZ
6231,3228,CO[P](=O)(OC)C(=[N+]=[N-])[C@@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(I)cc12,2,36.088,0.5,0.1,10.1021/acs.orglett.6b02095,IA
6233,3229,COC(=O)C(=C)[C@@H](c1ccc(OC)cc1)C(=[N+]=[N-])[P](=O)(OC)OC,2,50.552,0.5,0.2,10.1002/adsc.201600353,IC
6236,3230,COc1ccc2cc(ccc2c1)[C@@H](C)C(O)=O,2,45.66,0.8,0.1,10.1021/acs.orglett.2c00852,OJ3
6238,3231,O=C1C[C@@H](CO1)c2ccc3ccccc3c2,2,45.7,1,0.01,10.1021/acscatal.9b02667,ADH
6239,3232,COc1cccc(C[C@@H](CC=O)C(=O)OC(C)C)c1,2,41,1,0.01,10.1021/acs.orglett.9b04624,ODH
6242,3233,CCOC(=O)C[C@@H]1Nc2cc(OC)ccc2OC1=O,2,46,1,0.02,10.1039/c9ra02694k,ODH
6244,3234,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)c2ccc3OCOc3c2,2,46.09,1,0.2,10.1002/anie.202110084,AZ
6245,3235,O=C1C[C@@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C(=O)N1C6CCCCC6,2,25.8,1,0.4,10.1002/anie.202108853,IG
6247,3236,O[C@@H](c1c([nH]c2ccccc12)c3ccccc3)C(F)(F)F,2,36.4,1,0.1,10.1039/D1QO00368B,ODH
6249,3237,O=C1C[C@@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C(=O)N1Cc6ccccc6,2,35.4,1,0.4,10.1002/anie.202108853,IG
6252,3238,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(F)cc2,2,46.49,1,0.03,10.1039/C8QO01291A,AD
6254,3239,COc1cc(ccc1C)[C@@H](C)CCC=O,2,47.03,0.3,0.01,10.1038/s41557/019/0346/2,OJ3
6256,3240,O[C@@H](CCCC(=O)Nc1ccccc1)C2CCCCC2,2,47.1,0.7,0.05,10.1039/C8QO00307F,ODH
6258,3241,Clc1ccc(CO[C@@H](\C=C\c2ccccc2)c3ccccc3)cc1,2,47.258,0.5,0.04,10.1039/C4CC03920C,OJH
6259,3242,CC(=C)OC(=O)O[C@@H](c1ccc(F)cc1)c2cn(c3ccccc23)[S](=O)(=O)C(F)(F)F,2,43.5,0.2,0.004,10.1021/acs.orglett.8b00169,ADH
6262,3243,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)c4ccc(cc4)C(F)(F)F,2,47.6,1,0.5,10.1039/C6QO00018E,ADH
6264,3244,CCOC(=O)[C@@H](CC(=O)c1ccc(cc1)[N+]([O-])=O)C[N+]([O-])=O,2,47.68,1,0.2,10.1039/B905033G,AD
6266,3245,Fc1cccc(c1)[C@@H]2COC(=O)C2,2,47.8,1,0.01,10.1021/acscatal.9b02667,ADH
6268,3246,Cc1ccc(cc1)[S](=O)(=O)N[C@@H](\C=C\c2ccccc2)c3ccccc3,2,47.897,0.5,0.1,10.1039/C4CC03920C,ODH
6270,3247,Fc1ccc(cc1)[C@@H]2Cc3ccccc3[S]2(=O)=O,2,47.9,1,0.1,10.1039/C8SC05397A,ADH
6272,3248,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)c2ccc3OCOc3c2,2,48.01,1,0.2,10.1021/jacs.1c06535,AZ
6274,3249,Clc1cccc(c1)[C@@H]2Cc3ccccc3[S]2(=O)=O,2,48.3,1,0.1,10.1039/C8SC05397A,ADH
6276,3250,COc1ccc(cc1)[C@@H]2COC(=O)C2,2,48.3,1,0.01,10.1021/acscatal.9b02667,ADH
6278,3251,C[C@@H](C#C)C(=C)C(=O)OCc1ccccc1,2,48.37,0.5,0.01,10.1021/jacs.7b08207,OJ
6279,3252,C[C@@H](C#CCC(C#N)(c1ccccc1)c2ccccc2)c3ccccc3C(=O)NC(C)(C)C,2,52.79,0.8,0.01,10.1038/s41467/019/13705/1,ADH
6282,3253,Brc1ccc(cc1)[C@@H]2Nc3ccccc3NC2=O,2,48.7,1,0.1,10.1039/D1QO01598B,ODH
6284,3254,Cc1ccc(cc1)C(=O)C[C@@H](C#N)c2ccccc2,2,48.83,1,0.15,10.1038/s41467/021/22127/x,AZ
6286,3256,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CCCCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,2,41.8,0.7,0.2,10.6023/A18100413,ID
6289,3257,FC(F)(F)c1ccc(cc1)[C@@H]2COC(=O)C2,2,49,1,0.01,10.1021/acscatal.9b02667,ADH
6291,3258,Fc1cccc(C[C@@H]2CCCOC2=O)c1,2,49,1,0.05,10.1039/C9OB02536G,OJH
6293,3259,CCOC(=O)C(F)(F)[C@@]1(Cc2cc(OC)c(OC)cc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,2,49.04,1,0.06,10.1021/acs.orglett.7b03826,AD
6294,3260,CC(=O)C[C@@H](c1ccccc1)c2cn(c3ccccc23)[S](=O)(=O)C(F)(F)F,2,29.1,0.5,0.02,10.1021/acs.orglett.8b00169,ODH
6297,3261,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)c4ccccc4Br,2,49.2,1,0.5,10.1039/C6QO00018E,ADH
6300,3264,FC(F)(F)C[C@@H](NC(=O)c1ccc(cc1)c2ccccc2)c3c[nH]c4ccccc34,2,23.9,1,0.1,10.1039/D1SC06613G,IF3
6303,3266,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@@]12C(=O)Nc3ccc(C)cc23,2,16.76,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6305,3267,CCC(=O)OCC/C=C/[C@@H](CCCCC#N)OC(=O)c1ccc(C)cc1,2,37.2,0.5,0.2,10.1021/jacs.1c06535,AZ
6307,3268,COc1cccc(OC)c1NC[C@@H]2CCc3ccccc3N2,2,46.1,1,0.1,10.1002/anie.201909919,ODH
6310,3269,C[C@@H](CC(=O)c1ccc2ccccc2c1)[S](=O)(=O)c3ccc(C)cc3,2,49.5,1.5,0.2,10.1021/acs.orglett.0c03517,ASH
6312,3270,Fc1ccc(cc1)[C@@H]2COC(=O)C2,2,49.8,1,0.01,10.1021/acscatal.9b02667,ADH
6314,3271,Cc1ccc(C[C@@H]2CCCOC2=O)cc1,2,50.1,0.5,0.03,10.1039/C9OB02536G,ODH
6316,3272,COc1ccc(cc1OC)[C@@H](F)C(=O)c2nccn2c3ccccc3,2,50.4,1,0.1,10.1002/asia.201601306,ADH
6317,3273,Cc1cccc(c1)[C@@]2(Cc3ccc(cc3)[S](C)(=O)=O)CC(C)(C)CN2C(=O)Nc4cccc(Br)c4,2,56.6,0.7,0.15,10.6023/A18100413,OZ3
6319,3274,COc1cccc(c1)C2=Cc3ccccc3[C@@H](N2c4ccccc4)[P](=O)(OC)OC,2,28.421,0.5,0.2,10.1021/acs.orglett.0c02487,IC
6321,3275,Brc1cccc2CC[C@@H](CNc3ccccc3)Nc12,2,39,1,0.1,10.1002/anie.201909919,OJH
6324,3276,COc1ccc2n(c(C)c(CC(=O)O[C@@H](CCCCC#N)\C=C\c3ccccc3)c2c1)C(=O)c4ccc(Cl)cc4,2,50.83,1,0.2,10.1002/anie.202110084,OD
6326,3277,COc1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,2,50.99,1,0.2,10.1002/anie.202107909,IC3
6327,3278,CC(C)(C)O[P](=O)(OC(C)(C)C)[C@H](NNC(=O)c1ccccc1)[C@H](c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)c3ccccc3Br,2,43.087,0.4,0.05,10.1002/adsc.202100881,IE
6329,3279,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@@]12C(=O)Nc3ccccc23,2,16.804,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6331,3280,CC(=C)OC(=O)O[C@@H](c1ccccc1)c2cn(c3cc(Cl)ccc23)[S](=O)(=O)C(F)(F)F,2,44.1,0.2,0.004,10.1021/acs.orglett.8b00169,ADH
6334,3281,N#CCCCC[C@@H](C#N)c1ccc2ccccc2c1,2,51.75,1,0.15,10.1038/s41467/021/22127/x,OD
6336,3282,COc1ccc(cc1)[C@@H](F)C(=O)c2nccn2c3ccccc3,2,51.9,1,0.02,10.1002/asia.201601306,ADH
6338,3283,S=C1N[C@@H](CS1)c2ccccc2,2,52,0.8,0.2,10.1021/acscatal.0c02569,OJH
